id,servings,readyInMins,cookMins,prepMins,pricePerServing,isCheap,cuisines,diets,glutenFree,lowFodmap,vegan,vegetarian,veryHealthy,veryPopular,numSteps,numIngrs,ingrList
715415,8,55,45,10,300.45,False,[],"['gluten free', 'dairy free']",True,False,False,False,True,True,13,13,"['additional toppings: avocado', 'carrots', 'celery stalks', 'chicken breast', 'flat leaf parsley', 'garlic', 'olive oil', 'canned tomatoes', 'lentils', 'salt and pepper', 'turnip', 'vegetable stock', 'onion']"
782601,6,45,None,None,168.43,False,"['Creole', 'Cajun']","['gluten free', 'dairy free', 'lacto ovo vegetarian', 'vegan']",True,False,True,True,True,False,14,20,"['brown rice', 'carrots', 'celery', 'celery seed', 'kidney beans', 'marjoram', 'thyme', 'eggplant', 'garlic', 'green beans', 'ground pepper', 'ground sage', 'liquid smoke', 'olive oil', 'bell pepper', 'onion', 'sea salt', 'sriracha', 'tomatoes', 'vegetable stock']"
716004,6,45,None,None,186.91,False,[],"['gluten free', 'dairy free', 'lacto ovo vegetarian']",True,False,False,True,True,False,13,13,"['cashews', 'dried cherries', 'dried chickpeas', 'dried thyme', 'ground cumin', 'honey', 'juice of orange', 'olive oil', 'quinoa', 'red wine vinegar', 'sea-salt', 'sun-dried tomatoes', 'turmeric']"
716627,2,35,None,None,106.02,False,[],"['gluten free', 'dairy free', 'lacto ovo vegetarian', 'vegan']",True,False,True,True,True,True,7,10,"['black beans', 'canned tomatoes', 'chili powder', 'cumin', 'ground pepper', 'optional: of hot sauce', 'olive oil', 'onion', 'rice', 'water']"
664147,6,45,None,None,49.7,False,[],"['gluten free', 'dairy free', 'lacto ovo vegetarian', 'vegan']",True,False,True,True,True,False,7,8,"['bay leaf', 'rosemary', 'garlic', 'olive oil', 'onion', 'salt', 'water', 'beans']"
660306,6,45,None,None,298.81,False,[],"['gluten free', 'dairy free']",True,False,False,False,True,False,20,8,"['cinnamon', 'cumin', 'garbanzo beans *1', 'ground pepper', 'onion', 'pork should roast', 'salt', 'water *2']"
715769,2,30,None,None,414.24,False,"['Mediterranean', 'Italian', 'European']","['gluten free', 'dairy free', 'lacto ovo vegetarian', 'vegan']",True,False,True,True,True,False,10,7,"['broccolini', 'garlic clove', 'olive oil', 'onion', 'quinoa', 'vegetable broth', 'walnuts']"
636589,1,45,None,None,340.39,False,[],['gluten free'],True,False,False,False,True,False,4,5,"['butternut squash', 'goat cheese', 'liquid egg substitute', 'non-fat milk', 'bell pepper']"
646738,6,45,None,None,78.07,False,[],"['gluten free', 'dairy free', 'lacto ovo vegetarian', 'vegan']",True,False,True,True,True,False,30,12,"['olive oil', 'onion', 'garlic', 'carrot', 'kosher salt', 'bay leaves', 'rosemary leaves', 'the following: parmesan rind)', 'navy', 'water', 'dinosaur kale', 'juice of lemon']"
663559,4,45,None,None,115.56,False,[],"['gluten free', 'dairy free', 'lacto ovo vegetarian', 'vegan']",True,False,True,True,True,False,5,10,"['olive oil', 'onion', 'garlic', 'carrots', 'tomatoes', 'bay leaf', 'water', 'lentils', 'salt', 'parsley']"
715421,4,30,15,15,262.25,False,['Mexican'],['gluten free'],True,False,False,False,False,True,9,16,"['avocado', 'pepper', 'black beans', 'canned tomatoes', 'chili powder', 'quinoa', 'cumin', 'verde enchilada sauce', 'cilantro', 'green onion tops', 'roma tomato', 'salt', 'cheese', 'chicken breast', 'corn', 'pepper']"
648320,2,45,None,None,696.04,False,[],"['gluten free', 'dairy free', 'paleolithic', 'primal', 'pescatarian']",True,False,False,False,True,False,3,12,"['salmon', 'green onion', 'chives', 'cilantro', 'thai basil', 'ginger', 'lime zest', 'lime juice', 'rice vinegar', 'habanero sauce and chile', 'salt and pepper', 'olive oil to coat']"
652417,3,30,None,None,126.12,False,[],"['dairy free', 'lacto ovo vegetarian', 'vegan']",False,False,True,True,True,False,7,16,"['broccoli', 'chickpeas', 'carrots', 'celery stalks', 'lentils', 'couscous', 'cilantro', 'ground cinnamon', 'ground cumin', 'ground turmeric', 'lemon juice', 'olive oil', 'paprika', 'salt and pepper', 'tomato paste', 'water']"
636787,4,45,None,None,224.09,False,[],"['gluten free', 'dairy free', 'whole 30']",True,False,False,False,True,False,35,10,"['onion', 'carrots', 'garlic cloves', 'potatoes', 'chorizo links', 'chicken stock and 2 cups of water', 'kale', 'of water and 2 packets of chicken boullion', 'pepper flakes', 'salt and pepper']"
716311,2,45,None,None,151.08,False,"['Chinese', 'Asian']","['gluten free', 'dairy free']",True,False,False,False,False,False,7,6,"['chicken stock', 'seasoning cubes', 'mango', 'rice', 'vegetables', 'scotch bonnet pepper']"
157344,1,10,None,None,458.2,False,[],"['gluten free', 'lacto ovo vegetarian']",True,False,False,True,True,False,7,10,"['almonds', 'avocado', 'balsamic vinegar', 'cheddar cheese', 'kidney beans', 'greens', 'olive oil', 'roasted cashews', 'sundried tomatoes', 'tabasco']"
716361,1,45,None,None,357.8,False,[],['gluten free'],True,False,False,False,True,False,6,14,"['suya spice', 'quinoa and brown rice mix', 'butter', 'carrots', 'cherry tomatoes', 'chicken breast', 'garlic', 'seasoning cubes', 'bell pepper', 'roma tomato', 'scotch bonnet pepper', 'spring onion', 'vegetable oil', 'water']"
716408,4,30,None,None,303.59,False,"['Mediterranean', 'European', 'Greek']","['gluten free', 'pescatarian']",True,False,False,False,False,True,7,12,"['bell pepper', 'rice', 'basil', 'feta cheese', 'fish fillets', 'olive oil', 'oregano', 'pepper', 'onion', 'salt & pepper', 'tomato', 'white wine']"
661340,1,45,None,None,338.97,False,[],"['gluten free', 'primal']",True,False,False,False,True,False,5,12,"['almonds', 'balsamic vinegar', 'chicken', 'dijon mustard', 'feta cheese', 'thyme', 'ground pepper', 'shallot', 'spinach leaves', 'strawberries', 'strawberries', 'water']"
659135,2,45,None,None,520.46,False,[],"['gluten free', 'dairy free', 'whole 30', 'pescatarian']",True,False,False,False,True,False,9,10,"['potato', 'parsnip', 'carrot', 'onion', 'cherry tomatoes', 'salmon', 'olive oil', 'lemon juice', 'salt', 'rosemary and thyme']"
639851,2,45,None,None,626.14,False,[],"['gluten free', 'dairy free', 'whole 30']",True,False,False,False,True,False,13,12,"['olives', 'cod fillets', 'parsley', 'parsley leaves', 'lemon juice', 'olive oil', 'olive oil', 'plum tomatoes', 'potatoes', 'bell pepper', 'salt', 'a semi-smoked sausage']"
633921,2,60,None,None,443.76,False,[],"['gluten free', 'dairy free', 'pescatarian']",True,False,False,False,True,False,19,13,"['apple cider vinegar', 'asparagus', 'balsamic vinegar', 'dill', 'garlic', 'grapeseed oil', 'herbs de provence', 'honey', 'juice of lemon', 'lemon zest', 'salmon fillet', 'salt and pepper', 'vegetable stock']"
982371,4,13,11,2,301.67,False,[],"['gluten free', 'dairy free', 'lacto ovo vegetarian', 'vegan']",True,False,True,True,True,False,6,9,"['avocado', 'broccoli', 'rainbow cherry tomatoes', 'clementine', 'kale', 'quinoa', 'salt and pepper', 'baby brussell sprouts', 'stock']"
1095753,2,50,None,None,305.89,False,[],"['gluten free', 'dairy free', 'lacto ovo vegetarian', 'vegan']",True,False,True,True,True,False,12,14,"['kale leaves', 'garlic', 'quinoa', 'cabbage', 'avocado', 'a cauliflower', 'olive oil', 'ground cumin', 'garden cress', 'garlic roasted', 'cashews soaked overnight in water', 'tahini', 'water', 'kosher salt']"
715523,4,30,10,20,369.37,False,[],['gluten free'],True,False,False,False,False,True,9,9,"['bell peppers', 'cayenne', 'chili powder', 'chorizo', 'cumin', 'green onion tops', 'monterrey jack and cheddar cheese', 'ground beef', 'quinoa']"
639891,5,45,None,None,704.87,False,[],"['gluten free', 'dairy free']",True,False,False,False,True,False,17,14,"['ancho chile powder', 'canned tomatoes', 'brown sugar', 'cilantro', 'garlic cloves', 'ground cumin', 'jalapeño', 'olive oil', 'oregano', 'bell pepper', 'short', 'strong freshly coffee', 'tomato paste', 'onion']"
646651,4,45,None,None,312.55,False,[],['gluten free'],True,False,False,False,True,False,8,8,"['broccoli', 'pack maggi so herbs', 'olive oil', 'russet potato', 'pepper and salt', 'chicken breasts', 'sweet potatoes', 'butter']"
716330,1,45,None,None,450.95,False,[],"['gluten free', 'dairy free', 'whole 30']",True,False,False,False,True,False,7,6,"['chicken breast', 'chicken stock cube', 'mangos', 'pepper', 'suya seasoning mix', 'cooking spoon of vegetable oil']"
664090,4,45,None,None,447.82,False,[],['gluten free'],True,False,False,False,True,False,27,17,"['carrot', 'cucumber', 'garlic', 'pickled cucumbers / gherkins', 'jalapeno peppers', 'juice of lemon', 'lebanese cucumber', 'lemon juice', 'i gem lettuce', 'olive oil', 'parsley', 'cabbage', 'onion', 'roast chicken', 'salt & pepper', 'tomatoes', 'yoghurt']"
649944,4,45,None,None,159.25,False,[],"['gluten free', 'dairy free', 'lacto ovo vegetarian', 'vegan']",True,False,True,True,True,False,3,10,"['cilantro', 'lentils', 'garlic', 'mango', 'olive oil', 'bell pepper', 'bell pepper', 'onion', 'salt', 'white wine vinegar']"
646043,4,45,None,None,164.1,False,"['Indian', 'Asian']","['gluten free', 'dairy free', 'lacto ovo vegetarian', 'vegan']",True,False,True,True,True,False,10,15,"['baking powder', 'chillies', 'cinnamon powder', 'coriander', 'cumin seeds', 'curry leaves', 'garlic', 'lemon juice or', 'mung beans', 'mustard seeds', 'salt', 'sugar', 'sunflower oil', 'tomato', 'turmeric']"
652393,6,45,None,None,74.36,False,[],"['gluten free', 'dairy free', 'lacto ovo vegetarian', 'vegan']",True,False,True,True,True,False,10,14,"['pepper', 'brown sugar', 'carrots', 'celery', 'herbs', 'garlic', 'grapeseed oil', 'lemon juice', 'lentils', 'onion', 'red wine vinegar', 'salt', 'tomatoes', 'water']"
640828,6,45,None,None,416.31,False,[],"['dairy free', 'pescatarian']",False,False,False,False,True,False,12,12,"['salmon fillet', 'leek', 'bell pepper', 'cherry tomatoes', 'extra virgin olive oil', 'panko crumbs', 'parsley', 'garlic clove', 'lemon zest', 'salt', 'pepper', 'extra virgin olive oil']"
