id,url,servings,readyInMins,cookMins,prepMins,pricePerServing,isCheap,cuisines,diets,glutenFree,lowFodmap,vegan,vegetarian,veryHealthy,veryPopular,numSteps,numIngrs,ingrList
636787,https://www.foodista.com/recipe/7SDK7CGK/caldo-verde-portuguese-kale-soup,4,45,None,None,224.09,False,[],"['gluten free', 'dairy free', 'whole 30']",True,False,False,False,True,False,35,10,"['onion', 'carrots', 'garlic cloves', 'potatoes', 'chorizo links', 'chicken stock and 2 cups of water', 'kale', 'of water and 2 packets of chicken boullion', 'pepper flakes', 'salt and pepper']"
716330,https://www.afrolems.com/2013/03/29/easter-special-chicken-and-mango-skewer/,1,45,None,None,450.95,False,[],"['gluten free', 'dairy free', 'whole 30']",True,False,False,False,True,False,7,6,"['chicken breast', 'chicken stock cube', 'mangos', 'pepper', 'suya seasoning mix', 'cooking spoon of vegetable oil']"
659109,https://www.foodista.com/recipe/KH5STR7N/salmon-quinoa-risotto,4,45,None,None,382.96,False,"['Mediterranean', 'Italian', 'European']","['gluten free', 'dairy free', 'pescatarian']",True,False,False,False,True,False,18,9,"['quinoa', 'onion', 'kale', 'garlic cloves', 'olive oil', 'poached salmon', 'vegetable stock', 'salt', 'bell pepper']"
641387,https://www.foodista.com/recipe/6NB227RW/delicious-creamy-lentils-and-chestnuts-soup,4,30,None,None,80.08,False,[],"['gluten free', 'dairy free', 'lacto ovo vegetarian', 'vegan']",True,False,True,True,True,False,6,9,"['bay leaf', 'roasted chestnuts', 'garlic', 'lentils', 'olive oil', 'onion', 'potato', 'roma tomatoes', 'salt and pepper']"
1046982,https://www.pinkwhen.com/how-to-make-the-perfect-sweet-potato-sloppy-joes/,4,40,25,15,481.76,False,['American'],"['gluten free', 'dairy free', 'paleolithic', 'primal', 'whole 30']",True,False,False,False,True,False,13,10,"['bell pepper', 'garlic', 'ground turkey', 'olive oil', 'onion', 'salt and pepper', 'sweet potatoes', 'tomato paste', 'tomato sauce', 'water']"
663985,https://www.foodista.com/recipe/8QRN8DXZ/turkey-and-rice-stuffed-acorn-squash,6,45,None,None,295.38,False,[],['dairy free'],False,False,False,False,False,False,17,12,"['olive oil', 'acorn squash', 'brown basmati rice', 'onion', 'garlic', 'ground turkey', 'baby bella mushrooms', 'spinach', 'vegeta seasoning', 'bell pepper flakes', 'salt and pepper', 'bread crumbs']"
1096185,https://www.foodista.com/recipe/8S3RLBHN/north-by-northwest-couscous-salad,4,30,None,None,228.59,False,[],"['dairy free', 'lacto ovo vegetarian', 'vegan']",False,False,True,True,True,False,8,16,"['lemon zest', 'squeezed lemon juice', 'sugar', 'dijon mustard', 'kosher salt', 'pepper', 'olive oil', 'tri-color pearl couscous', 'apricots', 'carrots', 'celery', 'raisins', 'garbanzo beans', 'hazelnuts', 'onion', 'parsley']"
730914,https://www.pinkwhen.com/basil-infused-balsamic-oven-baked-chicken/,1,45,None,None,313.8,False,[],"['gluten free', 'primal']",True,False,False,False,False,False,14,5,"['balsamic vinegar', 'chicken breast', 'm zarella cheese', 'basil olive oil', 'tomato']"
452116,http://spoonacular.com/-1393025274242,2,40,None,None,338.14,False,[],[],False,False,False,False,True,False,20,10,"['rosemary', 'garlic', 'mushrooms', 'olive oil', 'parmesan cheese', 'red wine', 'salt and pepper', 'savoy cabbage', 'walnuts', 'spaghetti']"
640338,https://www.foodista.com/recipe/6PVSJLCP/cracked-wheat-salad-with-dates-tahini-yogrt,2,45,None,None,321.24,False,[],['lacto ovo vegetarian'],False,False,False,True,True,False,7,14,"['lentils', 'cracked wheat', 'dates', 'extra virgin olive oil', 'parsley', 'greek yogurt', 'ground coriander', 'ground cumin', 'lemon', 'onion', 'sesame seeds', 'paprika', 'tahini', 'zucchini']"
648627,https://www.foodista.com/recipe/VRMLC8F3/juicy-tender-pork-loin-roast,4,45,None,None,489.91,False,[],"['gluten free', 'dairy free', 'paleolithic', 'primal', 'whole 30']",True,False,False,False,True,False,5,8,"['bay leaves', 'chicken broth', 'parsley', 'garlic', 'grape tomatoes', 'olive oil', 'pepper', 'pork loin roast']"
638780,https://www.foodista.com/recipe/MYJMGP67/chock-full-of-broccoli-soup,4,30,None,None,224.47,False,[],"['gluten free', 'dairy free', 'lacto ovo vegetarian']",True,False,False,True,True,False,13,10,"['pepper', 'to 3 broccoli', 'to 5 chicken broth', 'extra virgin olive oil', 'garlic', 'mellow miso', 'onion', 'salt', 'lite silken tofu', 'to 2 tarragon']"
